MUMBAI,75
PUNE,42
SANGLI,25
NAGPUR,12
THANE,5
YAVATMAL,4
MUMBAI SUBURBAN,4
AHMADNAGAR,3
SATARA,2
KOLHAPUR,2
RATNAGIRI,1
NASHIK,1
JALGAON,1
GONDIYA,1
AURANGABAD,1
UNKNOWN,36
KASARAGOD,90
KANNUR,33
ERNAKULAM,20
PATHANAMTHITTA,12
MALAPPURAM,10
THIRUVANANTHAPURAM,8
THRISSUR,7
KOZHIKODE,6
PALAKKAD,5
KOTTAYAM,3
IDUKKI,3
KOLLAM,2
ALAPPUZHA,2
WAYANAD,1
BENGALURU,40
CHIKKABALLAPURA,9
UTTARA KANNADA,8
MYSURU,8
DAKSHINA KANNADA,6
UDUPI,3
KALABURAGI,3
DAVANAGERE,2
TUMAKURU,1
KODAGU,1
DHARWAD,1
CHITRADURGA,1
SOUTH WEST DELHI,3
NORTH WEST DELHI,3
NORTH DELHI,3
NEW DELHI,3
WEST DELHI,2
SOUTH DELHI,2
NORTH EAST DELHI,1
EAST DELHI,1
DELHI,1
UNKNOWN,53
GAUTAM BUDDHA NAGAR,30
AGRA,9
LUCKNOW,8
MEERUT,5
GHAZIABAD,3
VARANASI,2
PILIBHIT,2
MORADABAD,1
KANPUR,1
JAUNPUR,1
BAGHPAT,1
UNKNOWN,9
HYDERABAD,36
KARIMNAGAR,3
BHADRADRI KOTHAGUDEM,3
RANGA REDDY,2
MEDCHAL MALKAJGIRI,1
UNKNOWN,25
AHMADABAD,20
VADODARA,9
RAJKOT,7
GANDHINAGAR,7
SURAT,5
MEHSANA,1
KACHCHH,1
UNKNOWN,19
BHILWARA,21
JAIPUR,11
JHUNJHUNU,7
JODHPUR,5
AJMER,4
PRATAPGARH,2
UNKNOWN,10
CHENNAI,18
ERODE,9
SALEM,6
COIMBATORE,5
MADURAI,3
VELLORE,2
VIRUDHUNAGAR,1
TIRUPPUR,1
TIRUNELVELI,1
TIRUCHIRAPPALLI,1
THANJAVUR,1
KANCHEEPURAM,1
CHENGALPATTU,1
INDORE,27
JABALPUR,8
UJJAIN,5
BHOPAL,3
SHIVPURI,2
GWALIOR,1
UNKNOWN,1
SRINAGAR,15
JAMMU,9
BANDIPORE,9
RAJOURI,3
BUDGAM,2
BARAMULLAB,1
UNKNOWN,2
SHAHID BHAGAT SINGH NAGAR,19
S.A.S. NAGAR,6
JALANDHAR,5
HOSHIARPUR,2
AMRITSAR,2
PATIALA,1
LUDHIANA,1
UNKNOWN,3
GURUGRAM,24
PANIPAT,4
FARIDABAD,3
SONIPAT,1
PANCHKULA,1
PALWAL,1
AMBALA,1
VISAKHAPATNAM,4
KRISHNA,4
GUNTUR,4
PRAKASAM,3
EAST GODAVARI,3
S.P.S. NELLORE,1
KURNOOL,1
CHITTOOR,1
UNKNOWN,2
KOLKATA,10
NADIA,5
PURBA MEDINIPUR,2
NORTH 24 PARGANAS,2
KALIMPONG,1
HOOGHLY,1
PATNA,4
MUNGER,3
SIWAN,1
NALANDA,1
UNKNOWN,6
LEH,11
KARGIL,2
SOUTH ANDAMAN,5
NORTH AND MIDDLE ANDAMAN,1
UNKNOWN,4
CHANDIGARH,8
RAIPUR,4
RAJNANDGAON,1
DURG,1
BILASPUR,1
DEHRADUN,4
PAURI,2
UNKNOWN,1
NORTH GOA,3
UNKNOWN,2
KANGRA,3
KHORDHA,3
IMPHAL WEST,1
AIZAWL,1
MAHE,1
